+-----+----------------------------------+------------------------------------------------------------+
| id  | department_facet                 | department_display_facet                                   |
|  70 | EVSC-PHD                         | Department of Environmental Sciences                       |
|  71 | FORAFF-PHD                       | Department of Politics                                     |
|  72 | SPAN-PHD                         | Department of Spanish, Italian, and Portuguese             |
|  73 | ASTRON-PHD                       | Department of Astronomy                                    |
|  75 | PHIL-PHD                         | Department of Philosophy                                   |
|  76 | BIOL-PHD                         | Department of Biology                                      |
|  77 | ARTARC-PHD                       | Department of Art                                          |
|  78 | CELL-PHD                         | Department of Molecular, Cell and Developmental Biology    |
|  79 | EVSC-MS                          | Department of Environmental Sciences                       |
|  80 | HIST-MA                          | Department of History                                      |
|  81 | WRITE-MFA                        | Department of English                                      |
|  82 | CHEM-MS                          | Department of Chemistry                                    |
|  83 | ENGL-MA                          | Department of English                                      |
|  84 | ANTHRO-PHD                       | Department of Anthropology                                 |
|  85 | STATS-PHD                        | Department of Statistics                                   |
|  86 | MUSIC-PHD                        | Department of Music                                        |
|  88 | CLAS-PHD                         | Department of Classics                                     |
|  89 | PHARM-PHD                        | Department of Pharmacology                                 |
|  91 | FORAFF-MA                        | Department of Foreign Affairs                              |
|  92 | HIGHED-EDD                       | School of Education and Human Development                  |
|  93 | COUNS-EDD                        | School of Education and Human Development                  |
|  94 | COUNS-MED                        | School of Education and Human Development                  |
|  95 | CURRIN-EDD                       | School of Education and Human Development                  |
|  96 | CURRIN-MED                       | School of Education and Human Development                  |
|  97 | EDUC-PHD                         | School of Education and Human Development                  |
|  98 | ADMIN-EDD                        | School of Education and Human Development                  |
|  99 | ADMIN-MED                        | School of Education and Human Development                  |
| 101 | HIGHED-MED                       | School of Education and Human Development                  |
| 102 | KINES-MED                        | School of Education and Human Development                  |
| 103 | SPCED-MED                        | School of Education and Human Development                  |
| 104 | SPATH-MED                        | School of Education and Human Development                  |
| 105 | CLNPSY-PHD                       | School of Education and Human Development                  |
| 106 | EDPSYC-MED                       | School of Education and Human Development                  |
| 107 | PSYCH-MA                         | Department of Psychology                                   |
| 108 | NURS-PHD                         | School of Nursing                                          |
| 109 | NURS-DNP                         | School of Nursing                                          |
| 110 | EDPSYC-EDD                       | School of Education and Human Development                  |
| 111 | DRAMA-MFA                        | Department of Drama                                        |
| 112 | FRENCH-PHD                       | Department of French                                       |
| 113 | ARH-MARH                         | Department of Architectural History                        |
| 115 | ITAL-MA                          | Department of Spanish, Italian, and Portuguese             |
| 116 | GOVT-MA                          | Department of Politics                                     |
| 117 | SOCIOL-MA                        | Department of Sociology                                    |
| 118 | University of Virginia Libraries | University of Virginia Library                             |
| 119 | GERMAN-MS                        | Department of Germanic Languages and Literatures           |
| 120 | SLAVIC-PHD                       | Department of Slavic Languages and Literatures             |
| 121 | BIOL-MA                          | Department of Biology                                      |
| 122 | BIOL-MS                          | Department of Biology                                      |
| 123 | PLAN-MUEP                        | Department of Urban and Environmental Planning             |
| 124 | ARCH-MAR                         | Department of Architectural History                        |
| 125 | SLAVIC-MA                        | Department of Slavic Languages and Literatures             |
+-----+----------------------------------+------------------------------------------------------------+
